"ACC_Fi26";10;4;"You have a savings account paying 3% nominal interest. The inflation rate is 5%. What is your approximate real interest rate?";"8%|-2%|2%|+5%";;;0|2|0|0;1;2;;;0;;"Real Interest approx Nominal - Inflation = 3% - 5% = -2%";"Chapter 1";
"ACC_Fi26";10;4;"Calculation: You invest 1,000 EUR today at an interest rate of 5% (compound interest) for 3 years. What is the Future Value (FV)?";"1,150.00 EUR|1,157.63 EUR|1,200.50 EUR|1,050.00 EUR";;;0|3|0|0;1;3;;;0;;"FV = 1000 * 1.05^3 = 1157.625";"Chapter 1";
"ACC_Fi26";10;4;"Calculation: You expect receiving 10,000 EUR in 5 years. The appropriate discount rate is 8%. What is the Present Value (PV) today?";"6,805.83 EUR|14,693.28 EUR|8,219.00 EUR|7,500.00 EUR";;;3|0|0|0;1;3;;;0;;"PV = 10,000 / (1.08)^5 = 6805.83";"Chapter 1";
"ACC_Fi26";10;4;"Calculation: A bond has a face value of 1,000 EUR and pays a coupon of 4% annually. It has exactly 2 years remaining until maturity. The current market yield is 6%. What is the fair price of the bond today?";"1,000.00 EUR|963.33 EUR|1,050.20 EUR|980.50 EUR";;;0|4|0|0;1;4;;;0;;"PV = 40/1.06 + 1040/(1.06)^2 = 37.74 + 925.60 = 963.33";"Chapter 4";
"ACC_Fi26";10;4;"Calculation: A stock is expected to pay a dividend of 2.00 EUR next year (D1). You expect the dividend to grow by 2% forever (g). Your required return is 10% (r). According to the Gordon Growth Model, what is the stock price?";"20.00 EUR|25.00 EUR|22.00 EUR|18.50 EUR";;;0|4|0|0;1;4;;;0;;"P = D1 / (r - g) = 2.00 / (0.10 - 0.02) = 2 / 0.08 = 25.00";"Chapter 4";
"ACC_Fi26";10;4;"Calculation: You invest 200 EUR today. You receive 100 EUR in Year 1 and 120 EUR in Year 2. Your cost of capital is 10%. Calculate the Net Present Value (NPV).";"-9.92 EUR|+20.00 EUR|+9.92 EUR|-1.65 EUR";;;4|0|0|0;1;4;;;0;;"NPV = -200 + 100/1.1 + 120/1.21 = -200 + 90.91 + 99.17 = -9.92";"Chapter 5";
"ACC_Fi26";10;4;"Calculation: Project A requires an investment of 100 EUR today and returns 110 EUR in exactly one year. What is the Internal Rate of Return (IRR)?";"5%|10%|15%|1% per month";;;0|3|0|0;1;2;;;0;;"100 = 110 / (1+r) -> 1+r = 1.1 -> r = 10%";"Chapter 6";
"ACC_Fi26";10;4;"You are offered '2% Skonto if paid in 10 days, otherwise net 30 days'. You decide to pay on day 30. Effectively, you are borrowing money for 20 days. Approximate the effective annual interest rate of this decision.";"Approx 10%|Approx 36%|Approx 2%|Approx 12%";;;0|3|0|0;1;3;;;0;;"(2/98) * (360/20) approx 0.02 * 18 = 36% (simplified)";"Chapter 3";
"ACC_Fi26";8;4;"Which of the following calculation inputs will DECREASE the Net Present Value (NPV) of a standard project?";"Decreasing the initial investment.|Increasing the discount rate.|Increasing the future cash flows.|Delaying a large cash inflow from year 1 to year 5.";;;0|1|0|1|2|0;1;3;;;0;;"Higher discount rate shrinks PV. Delaying inflow shrinks PV due to TVM.";"Chapter 5";
"ACC_Fi26";10;4;"Why is the 'Annuity Due' (Vorschussig) value higher than the 'Ordinary Annuity' (Nachschussig) value for the same parameters?";"Because payments occur earlier (t=0 vs t=1).|Because payments occur later.|Because the interest rate is higher.|It is not higher, it is lower.";;;2|0|0|0;1;2;;;0;;"Earlier payments are worth more (Time Value of Money). Difference is factor (1+i).";"Chapter 2";
